"","Family","Genus","Species","Common.Name","Origin","Lat...Long","latitude","longitude","Wild.caught.","Acclimation.Time..days.","Acclimation.Temperature..OC.","Acclimation.Salinity..psu.","PO2.Units","Acclimation.PO2","Acclimation.pH","Diet","Energy.Content","Ration.Unit","Ration.Size","Feeding.Regime","Photoperiod.Hours..L.D.","Sample.Size","Mean.Mass..g.","Mass.SD","Mass.SEM","Mass.Range.Upper..kg.","Mass.Range.Lower..kg.","Max.published.length..cm.","Calculated.mass..g.","percent.BM","Mean.Length..mm.","Length.SD","Length.SEM","Length.Range.Upper..mm.","Length.Range.Lower..mm.","Life.Stage","Expected.life.stage","Sex","Last.Feed..h.","RESPIROMETRY_TYPE","Swimming.Speed..body.lengths.s.1.","Hypoxia.Exposure.Method","Rate.of.Hypoxia.Onset..PO2.unit...min.1.","PO2.Setpoint.Time..mins.","Minimum.PO2","PO2.Unit","Salinity..psu.","Temp","pH","PCO2..uatm.","Access.to.Air","Oxy...conforming...regulating","Routine....Standard.MO2...RMR...SMR.","ORIGINAL_MR_VALUE","MO2.Range.Upper","MO2.Range.Lower","MO2.Units","MR.micro.mol.h","Critical_PO2","Critical.PO2.Range...Upper.Limit","Critical.PO2.Range...Lower.Limit","Critical.PO2.SD","Critical.PO2.SEM","Critical.PO2.Unit","Air.Breathing.Threshold","Pcrit..kPa.","Pcrit_SE","Pcrit.SD..kPa.","SMR..mgO2...kg..hr.","RMR..mgO2..kg..hr.","X100...Air.Sat...mmHg.","Statistical.Method","SMR.Determination.Method","Pcrit.Calculation.Method","mean.duration.of.Pcrit.trial..min.","Comments.and.Reference.Details","Reference","Year","Corresponding.Author","DOI","Full.Citation","X","C.Value","C.Value.method","Estimated_C.Value","Aspect.ratio.of.the.caudal.fin","animal","Salt","Taccl","logMass","Lat_abs","Calculatedpercent","logpercentcalc","logMR","residMR","relT","relT2","Salt_type_data","Conversion.factor.to.micro.mol.kg.h"
"11","Latidae","Lates","calcarifer","Australian barramundi","Darwin Aquaculture Centre, Darwin, Australia","-12.555574, 130.864346",-12.555574," 130.864346","No","17",36,"Freshwater","% Air Sat.","75",NA,"Commercial pellet , Ridley
Aquafeed, Narangba, Queensland, Australia","-","% body weight","1","daily","12:12",12,194,"0.0226","-","-","-",200,102900,0.19,"-","-","-","-","-","-","Juvenile","-","40","unknown","-","O2 consumption by fish","1.05","-","5","% Air Sat.",0.1,36,"-","-","No","Oxyregulator","RMR","3.27","-","-","mgO2 / kg / min",1189.46,"23.88","-","-","3.46","-","% Air Sat.","-",4.77,"0.199389963","0.690707093","","196.2","1.497.397.083","One-way ANOVA with Student–Newman–Keuls post hoc","-","Interception of two linear regressions.As per (Corkum and Gamperl, 2009; Nilsson et al., 2010) ","","Significant difference in rate of hypoxia onset between 26 and 36 temperature treatments in this study (0.4 and 1.05 % air sat / min respectivly)","Collins et al.","2013","Geoffrey M. Collins","10.1093/conphys/cot029","Collins, G. M., Clark, T. D., Rummer, J. L., & Carton, A. G. (2013). Hypoxia tolerance is conserved across genetically distinct sub-populations of an iconic, tropical Australian teleost (Lates calcarifer). Conservation Physiology, 1(1).",NA,"0.7","FIA",0.7,"round","Lates_calcarifer",0.1,0,2.28780173,12.555574,0.188532556,-0.724613645,3.075349842,0.024775585,4.862034701,8.710470488,"quantatative",1.87499605914436
"12","Latidae","Lates","calcarifer","Australian barramundi","Barramundi Discovery Centre, Karumba, Australia","-17.501133, 140.826979",-17.501133," 140.826979","No","17",26,"Freshwater","% Air Sat.","75",NA,"Commercial pellet , Ridley
Aquafeed, Narangba, Queensland, Australia","-","% body weight","1","daily","12:12",10,194,"0.0226","-","-","-",200,102900,0.19,"-","-","-","-","-","-","Juvenile","-","40","unknown","-","O2 consumption by fish","0.4","-","5","% Air Sat.",0.1,26,"-","-","No","Oxyregulator","RMR","1.44","-","-","mgO2 / kg / min",523.8,"15.82","-","-","2.13","-","% Air Sat.","-",3.24,"0.138099754","0.436709766","","86.4","153.791.547","One-way ANOVA with Student–Newman–Keuls post hoc","-","Interception of two linear regressions.As per (Corkum and Gamperl, 2009; Nilsson et al., 2010) ","","Significant difference in rate of hypoxia onset between 26 and 36 temperature treatments in this study (0.4 and 1.05 % air sat / min respectivly)","Collins et al.","2013","Geoffrey M. Collins","10.1093/conphys/cot029","Collins, G. M., Clark, T. D., Rummer, J. L., & Carton, A. G. (2013). Hypoxia tolerance is conserved across genetically distinct sub-populations of an iconic, tropical Australian teleost (Lates calcarifer). Conservation Physiology, 1(1).",NA,"0.7","FIA",0.7,"round","Lates_calcarifer",0.1,0,2.28780173,17.501133,0.188532556,-0.724613645,2.719165494,-0.098723554,-4.618585709,0.127223082,"quantatative",1.875
"13","Latidae","Lates","calcarifer","Australian barramundi","Barramundi Discovery Centre, Karumba, Australia","-17.501133, 140.826980",-17.501133," 140.826980","No","17",36,"Freshwater","% Air Sat.","75",NA,"Commercial pellet , Ridley
Aquafeed, Narangba, Queensland, Australia","-","% body weight","1","daily","12:12",12,194,"0.0226","-","-","-",200,102900,0.19,"-","-","-","-","-","-","Juvenile","-","40","unknown","-","O2 consumption by fish","1.05","-","5","% Air Sat.",0.1,36,"-","-","No","Oxyregulator","RMR","2.95","-","-","mgO2 / kg / min",1073.06,"19.58","-","-","3.15","-","% Air Sat.","-",3.91,"0.181525544","0.628822932","","177","1.497.397.083","One-way ANOVA with Student–Newman–Keuls post hoc","-","Interception of two linear regressions.As per (Corkum and Gamperl, 2009; Nilsson et al., 2010) ","","Significant difference in rate of hypoxia onset between 26 and 36 temperature treatments in this study (0.4 and 1.05 % air sat / min respectivly)","Collins et al.","2013","Geoffrey M. Collins","10.1093/conphys/cot029","Collins, G. M., Clark, T. D., Rummer, J. L., & Carton, A. G. (2013). Hypoxia tolerance is conserved across genetically distinct sub-populations of an iconic, tropical Australian teleost (Lates calcarifer). Conservation Physiology, 1(1).",NA,"0.7","FIA",0.7,"round","Lates_calcarifer",0.1,0,2.28780173,17.501133,0.188532556,-0.724613645,3.030624006,-0.01995025,5.381414291,10.12722308,"quantatative",1.87499563166172
"14","Latidae","Lates","calcarifer","Australian barramundi","Mainstream Aquaculture, Townsville, Australia","-19.254190, 146.817314",-19.25419," 146.817314","No","17",26,"Freshwater","% Air Sat.","75",NA,"Commercial pellet , Ridley
Aquafeed, Narangba, Queensland, Australia","-","% body weight","1","daily","12:12",10,194,"0.0226","-","-","-",200,102900,0.19,"-","-","-","-","-","-","Juvenile","-","40","unknown","-","O2 consumption by fish","0.4","-","5","% Air Sat.",0.1,26,"-","-","No","Oxyregulator","RMR","1.53","-","-","mgO2 / kg / min",556.54,"15.2","-","-","2.14","-","% Air Sat.","-",3.11,"0.138748109","0.438760046","","91.8","153.791.547","One-way ANOVA with Student–Newman–Keuls post hoc","-","Interception of two linear regressions.As per (Corkum and Gamperl, 2009; Nilsson et al., 2010) ","","Significant difference in rate of hypoxia onset between 26 and 36 temperature treatments in this study (0.4 and 1.05 % air sat / min respectivly)","Collins et al.","2013","Geoffrey M. Collins","10.1093/conphys/cot029","Collins, G. M., Clark, T. D., Rummer, J. L., & Carton, A. G. (2013). Hypoxia tolerance is conserved across genetically distinct sub-populations of an iconic, tropical Australian teleost (Lates calcarifer). Conservation Physiology, 1(1).",NA,"0.7","FIA",0.7,"round","Lates_calcarifer",0.1,0,2.28780173,19.25419,0.188532556,-0.724613645,2.745496384,-0.072392665,-4.434480732,0.629420721,"quantatative",1.87500842261303
"15","Latidae","Lates","calcarifer","Australian barramundi","Mainstream Aquaculture, Townsville, Australia","-19.254190, 146.817315",-19.25419," 146.817315","No","17",36,"Freshwater","% Air Sat.","75",NA,"Commercial pellet , Ridley
Aquafeed, Narangba, Queensland, Australia","-","% body weight","1","daily","12:12",12,194,"0.0226","-","-","-",200,102900,0.19,"-","-","-","-","-","-","Juvenile","-","40","unknown","-","O2 consumption by fish","1.05","-","5","% Air Sat.",0.1,36,"-","-","No","Oxyregulator","RMR","3.06","-","-","mgO2 / kg / min",1113.08,"22.95","-","-","2.75","-","% Air Sat.","-",4.58,"0.158474682","0.548972401","","183.6","1.497.397.083","One-way ANOVA with Student–Newman–Keuls post hoc","-","Interception of two linear regressions.As per (Corkum and Gamperl, 2009; Nilsson et al., 2010) ","","Significant difference in rate of hypoxia onset between 26 and 36 temperature treatments in this study (0.4 and 1.05 % air sat / min respectivly)","Collins et al.","2013","Geoffrey M. Collins","10.1093/conphys/cot029","Collins, G. M., Clark, T. D., Rummer, J. L., & Carton, A. G. (2013). Hypoxia tolerance is conserved across genetically distinct sub-populations of an iconic, tropical Australian teleost (Lates calcarifer). Conservation Physiology, 1(1).",NA,"0.7","FIA",0.7,"round","Lates_calcarifer",0.1,0,2.28780173,19.25419,0.188532556,-0.724613645,3.046526379,-0.004047877,5.565519268,10.62942072,"quantatative",1.87500842261303
"16","Latidae","Lates","calcarifer","Australian barramundi","Gladstone Water Board Barramundi
Hatchery, Galdstone, Australia","-23.843134, 151.256209",-23.843134," 151.256209","Yes","17",26,"Freshwater","% Air Sat.","75",NA,"Commercial pellet , Ridley
Aquafeed, Narangba, Queensland, Australia","-","% body weight","1","daily","12:12",10,194,"0.0226","-","-","-",200,102900,0.19,"-","-","-","-","-","-","Juvenile","-","40","unknown","-","O2 consumption by fish","0.4","-","5","% Air Sat.",0.1,26,"-","-","No","Oxyregulator","RMR","1.44","-","-","mgO2 / kg / min",523.8,"14.14","-","-","2.12","-","% Air Sat.","-",2.9,"0.137451398","0.434659485","","86.4","153.791.547","One-way ANOVA with Student–Newman–Keuls post hoc","-","Interception of two linear regressions.As per (Corkum and Gamperl, 2009; Nilsson et al., 2010) ","","Significant difference in rate of hypoxia onset between 26 and 36 temperature treatments in this study (0.4 and 1.05 % air sat / min respectivly)","Collins et al.","2013","Geoffrey M. Collins","10.1093/conphys/cot029","Collins, G. M., Clark, T. D., Rummer, J. L., & Carton, A. G. (2013). Hypoxia tolerance is conserved across genetically distinct sub-populations of an iconic, tropical Australian teleost (Lates calcarifer). Conservation Physiology, 1(1).",NA,"0.7","FIA",0.7,"round","Lates_calcarifer",0.1,0,2.28780173,23.843134,0.188532556,-0.724613645,2.719165494,-0.098723554,-3.952552632,1.944013939,"quantatative",1.875
"17","Latidae","Lates","calcarifer","Australian barramundi","Gladstone Water Board Barramundi
Hatchery, Galdstone, Australia","-23.843134, 151.256209",-23.843134," 151.256209","Yes","17",36,"Freshwater","% Air Sat.","75",NA,"Commercial pellet , Ridley
Aquafeed, Narangba, Queensland, Australia","-","% body weight","1","daily","12:12",12,194,"0.0226","-","-","-",200,102900,0.19,"-","-","-","-","-","-","Juvenile","-","40","unknown","-","O2 consumption by fish","1.05","-","5","% Air Sat.",0.1,36,"-","-","No","Oxyregulator","RMR","3.38","-","-","mgO2 / kg / min",1229.48,"19.32","-","-","4.61","-","% Air Sat.","-",3.86,"0.265661194","0.92027737","","202.8","1.497.397.083","One-way ANOVA with Student–Newman–Keuls post hoc","-","Interception of two linear regressions.As per (Corkum and Gamperl, 2009; Nilsson et al., 2010) ","","Significant difference in rate of hypoxia onset between 26 and 36 temperature treatments in this study (0.4 and 1.05 % air sat / min respectivly)","Collins et al.","2013","Geoffrey M. Collins","10.1093/conphys/cot029","Collins, G. M., Clark, T. D., Rummer, J. L., & Carton, A. G. (2013). Hypoxia tolerance is conserved across genetically distinct sub-populations of an iconic, tropical Australian teleost (Lates calcarifer). Conservation Physiology, 1(1).",NA,"0.7","FIA",0.7,"round","Lates_calcarifer",0.1,0,2.28780173,23.843134,0.188532556,-0.724613645,3.089721468,0.039147212,6.047447368,11.94401394,"quantatative",1.87500762520588
"18","Gobiidae","Gobius","cobitis","Giant goby","Roscoff Biological Station, France ","48.726639, -3.987608",48.726639," -3.987608","No","365",13,"35","-","-",NA,"Squid, crab, mussel","-","-","-","weekly","12:12",6,124.5,"-","-","0.24","0.009",14.1,228,NA,"-","-","-","-","-","-","","-","16","unknown","-","Equilibration with with N2, O2 and air","0.38","60","18.57","Torr",35,12.5,"-","-","No","Oxyregulator","RMR","1.07","-","-","mmol O2 / kg /  h",139.64,"40","-","-","-","-","Torr","-",5.32,"-","-","","34.24","-","-","-","Interception of two regression lines","","-","Berschick et al.","1987","-","-","BERSCHICK, P., BRIDGES, C. R., & GRIESHABER, M. K. (1987). The Influence of Hyperoxia, Hypoxia and Temperature on the Respiratory Physiology of the Intertidal Rockpool Fish Gobius Cobitis Pallas. Journal of Experimental Biology, 130(1), 368-387. ",NA,"0.66","FD",0.66,"round","Gobius_cobitis",35,0.5,2.095169351,48.726639,54.60526316,1.737234504,2.14500984,-0.394430049,-2.93e-14,-4.427616897,"quantatative",1
"19","Scyliorhinidae","Scyliorhinus","canicula","Small-spotted catshark","Marine Biological Association, Plymouth, UK","50.364380, -4.139501",50.36438," -4.139501","No","18",7,"Seawater","-","-",NA,"-","-","-","-","-","-",7,805,"-","-","1.05","0.56",100,3600,22.36,"-","-","-","-","-","-","Adult","-","-","unknown","-","Equilibration with with N2, O2 and air","1","-","40","mmHg",30,7,"-","-","No","Oxyregulator","RMR","0.34","-","-","mlO2 / kg / min",733.13,"NS","-","-","-","-","mmHg","-",NA,"-","-","-","","-","Student's t-test","-","When EO2 was significantly less than normoxic EO2 ","","Pcrit determined as point at which MO2 was statistically significantly less than MO2 at normoxia therfore potential underestimate of when Pcrit actually occurred","Butler & Taylor","1975","-","-","Butler, P. J., & Taylor, E. W. (1975). The effect of progressive hypoxia on respiration in the dogfish (scyliorhinus canicula) at different seasonal temperatures. J Exp Biol, 63(1), 117-130. ",NA,"5.65","FD",5.65,"round","Scyliorhinus_canicula",35,0,2.90579588,50.36438,22.36111111,1.34949338,2.865180991,-0.204989631,-5,-9.458453793,"qualitative (Seawater)",2.67858969674826
"20","Scyliorhinidae","Scyliorhinus","canicula","Small-spotted catshark","Marine Biological Association, Plymouth, UK","50.364380, -4.139502",50.36438," -4.139502","No","18",12,"Seawater","-","-",NA,"-","-","-","-","-","-",8,805,"-","-","1.05","0.56",100,3600,22.36,"-","-","-","-","-","-","Adult","-","-","unknown","-","Equilibration with with N2, O2 and air","1","-","40","mmHg",30,12,"-","-","No","Oxyregulator","RMR","0.45","-","-","mlO2 / kg / min",970.31,"48","-","-","-","-","mmHg","-",6.39,"-","-","-","","-","Student's t-test","-","When EO2 was significantly less than normoxic EO2 ","","Pcrit determined as point at which MO2 was statistically significantly less than MO2 at normoxia therfore potential underestimate of when Pcrit actually occurred","Butler & Taylor","1975","-","-","Butler, P. J., & Taylor, E. W. (1975). The effect of progressive hypoxia on respiration in the dogfish (scyliorhinus canicula) at different seasonal temperatures. J Exp Biol, 63(1), 117-130. ",NA,"5.65","FD",5.65,"round","Scyliorhinus_canicula",35,0,2.90579588,50.36438,22.36111111,1.34949338,2.986910507,-0.217959483,1.4e-13,-4.458453793,"qualitative (Seawater)",2.67856452726018
"21","Scyliorhinidae","Scyliorhinus","canicula","Small-spotted catshark","Marine Biological Association, Plymouth, UK","50.364380, -4.139503",50.36438," -4.139503","No","18",17,"Seawater","-","-",NA,"-","-","-","-","-","-",8,805,"-","-","1.05","0.56",100,3600,22.36,"-","-","-","-","-","-","Adult","-","-","unknown","-","Equilibration with with N2, O2 and air","1","-","40","mmHg",30,17,"-","-","No","Oxyregulator","RMR","0.73","-","-","mlO2 / kg / min",1574.06,"63","-","-","-","-","mmHg","-",8.4,"-","-","-","","-","Student's t-test","-","When EO2 was significantly less than normoxic EO2 ","","Pcrit determined as point at which MO2 was statistically significantly less than MO2 at normoxia therfore potential underestimate of when Pcrit actually occurred","Butler & Taylor","1975","-","-","Butler, P. J., & Taylor, E. W. (1975). The effect of progressive hypoxia on respiration in the dogfish (scyliorhinus canicula) at different seasonal temperatures. J Exp Biol, 63(1), 117-130. ",NA,"5.65","FD",5.65,"round","Scyliorhinus_canicula",35,0,2.90579588,50.36438,22.36111111,1.34949338,3.197021283,-0.137903269,5,0.541546207,"qualitative (Seawater)",2.67856717433847
"22","Batrachoididae","Porichthys","notatus","Plainfin midshipman","Nanoose Bay, Vancouver Island, British Columbia, Canada","49.264412, -124.172588",49.264412," -124.172588","Yes","7",10,"Seawater","-","-",NA,"-","-","-","-","unfed","-",16,171,"0.0158","-","-","-",38,520.82,32.83,"-","-","-","-","-","-","Adult","Type 1 Male","-","Closed","-","O2 consumption by fish","0.44","-","20","% Air Sat.",30,10,"-","-","No","Oxyconformer","RMR","1","-","-","mmol O2 / kg /  h",171,"-","-","-","-","-","-","-",NA,"-","-","-","32","-","Linear regression analysis","-","Regression analysis","","Paper suggests type 1 male plainfin midshiman are oxyconformers (caveat - closed respirometry, 30 mins between measurments, 6 measuremnts over whole PO2 range)","Craig et al.","2014","P. M. Craig","10.1007/s10641-013-0137-3","Craig, P., Fitzpatrick, J., Walsh, P., Wood, C., & McClelland, G. (2014). Coping with aquatic hypoxia: how the plainfin midshipman (Porichthys notatus) tolerates the intertidal zone. Environmental Biology of Fishes, 97(2), 163-172.",NA,"2.2","BFA",2.2,"round","Porichthys_notatus",35,0,2.23299611,49.264412,32.83284052,1.516308457,2.23299611,-0.355310595,-0.669158287,-6.77356125,"qualitative (Seawater)",1
"23","Acipenseridae","Acipenser","transmontanus","White sturgeon","University of
California, Davis (UCD), Aquaculture and Fisheries
Program facility, USA","38.538438, -121.761723",38.538438," -121.761723","No","7",10,"Freshwater","-","-",NA,"Silvercup trout pellets","-","-","ad libitum","twice daily","""natural""",30,0.2,"0","-","-","-",610,1500000,0,"-","-","-","-","-","Juvenile","Juvenile","-","24","Closed","-","N2 Addition","12","30","80","mmHg",0.1,10,"-","-","No","Oxyconformer","RMR","267.1","-","-","ug O2/ g / h",1.67,"-","-","-","-","-","-","-",NA,"-","-","-","267.1","-","ANOVA","-","-","","Paper concludes oxyconforming but Pcrit could occur above 80 mmHg (no measurements of MO2 between 140 and 80 mmHg were taken)","Crocker & Cech","1997","-","10.1023/A:1007362018352","Crocker, C., & Cech, J. J., Jr. (1997). Effects of environmental hypoxia on oxygen consumption rate and swimming activity in juvenile white sturgeon, Acipenser transmontanus, in relation to temperature and life intervals. Environmental Biology of Fishes, ",NA,"4.73","FCM",4.73,"crescent","Acipenser_transmontanus",0.1,0,-0.698970004,38.538438,1.33e-05,-4.875061263,0.222716471,0.311794062,-5.333333333,-9.846227352,"quantatative",0.03125
"24","Acipenseridae","Acipenser","transmontanus","White sturgeon","University of
California, Davis (UCD), Aquaculture and Fisheries
Program facility, USA","38.538438, -121.761724",38.538438," -121.761724","No","12",16,"Freshwater","-","-",NA,"Silvercup trout pellets","-","-","ad libitum","twice daily","""natural""",105,1.9,"0.0001","-","-","-",610,1500000,0,"-","-","-","-","-","Juvenile","Juvenile","-","24","Closed","-","N2 Addition","12","30","80","mmHg",0.1,16,"-","-","No","Oxyconformer","RMR","211.7","-","-","ug O2/ g / h",12.57,"-","-","-","-","-","-","-",NA,"-","-","-","211.7","-","ANOVA","-","-","","Paper concludes oxyconforming but Pcrit could occur above 80 mmHg (no measurements of MO2 between 140 and 80 mmHg were taken)","Crocker & Cech","1997","-","10.1023/A:1007362018352","Crocker, C., & Cech, J. J., Jr. (1997). Effects of environmental hypoxia on oxygen consumption rate and swimming activity in juvenile white sturgeon, Acipenser transmontanus, in relation to temperature and life intervals. Environmental Biology of Fishes, ",NA,"4.73","FCM",4.73,"crescent","Acipenser_transmontanus",0.1,0,0.278753601,38.538438,0.000126667,-3.897337658,1.099335278,0.212169699,0.666666667,-3.846227352,"quantatative",0.03125
"25","Acipenseridae","Acipenser","transmontanus","White sturgeon","University of
California, Davis (UCD), Aquaculture and Fisheries
Program facility, USA","38.538438, -121.761725",38.538438," -121.761725","No","20",20,"Freshwater","-","-",NA,"Silvercup trout pellets","-","-","ad libitum","twice daily","""natural""",24,63.1,"0.004","-","-","-",610,1500000,0,"-","-","-","-","-","Juvenile","Juvenile","-","24","Closed","-","N2 Addition","12","90","80","mmHg",0.1,20,"-","-","No","Oxyconformer","RMR","180","-","-","ug O2/ g / h",354.94,"-","-","-","-","-","-","-",NA,"-","-","-","180","-","ANOVA","-","-","","Paper concludes oxyconforming but Pcrit could occur above 80 mmHg (no measurements of MO2 between 140 and 80 mmHg were taken)","Crocker & Cech","1997","-","10.1023/A:1007362018352","Crocker, C., & Cech, J. J., Jr. (1997). Effects of environmental hypoxia on oxygen consumption rate and swimming activity in juvenile white sturgeon, Acipenser transmontanus, in relation to temperature and life intervals. Environmental Biology of Fishes, ",NA,"4.73","FCM",4.73,"crescent","Acipenser_transmontanus",0.1,0,1.800029359,38.538438,0.004206667,-2.3760619,2.550154945,0.287854248,4.666666667,0.153772648,"quantatative",0.03125
"26","Cottidae","Cottus","asper","Prickly sculpin","Pachena
Lake, British Columbia, Canada","48.837646, -125.028995",48.837646," -125.028995","Yes","30",12,"0","-","-",NA,"bloodworms, minced fish muscle,
and mussels","-","-","-","-","12:12",6,11.4,"0.0026","-","-","-",30,796.32,1.43,"-","-","-","-","-","-","Juvenile","-","-","Closed","-","O2 consumption by fish","1.08","-","10","Torr",0,12,"-","+2 torr","No","Oxyregulator","RMR","2.41","-","-","umol O2 / g / h",27.47,"49.03","-","-","-","3.72","torr","-",6.53,"0.495876","-","","77.12","-","two-way ANOVA, post hoc Holm-Sidak multiple-comparisons
analysis ","-","BASIC program designed by Yeager and Ultsch (1989)","","Thickening of gill epithilia limits ion loss in freshwater but compromises gas exchange and therefore results in higher Pcrit.  ","Henriksson et al.","2008","-","10.1086/587092","Henriksson, P., Mandic, M., & Richards, J. G. (2008). The osmorespiratory compromise in sculpins: impaired gas exchange is associated with freshwater tolerance. Physiol Biochem Zool, 81(3), 310-319.",NA,NA,NA,0.86,"round","Cottus_asper",0,0,1.056904851,48.837646,1.431585292,0.155817228,1.438858659,0.005282255,0.00098839,-4.89581676,"quantatative",1
"27","Cottidae","Cottus","asper","Prickly sculpin","Pachena
Lake, British Columbia, Canada","48.837646, -125.028995",48.837646," -125.028995","Yes","30",12,"15","-","-",NA,"bloodworms, minced fish muscle,
and mussels","-","-","-","-","12:12",6,12.6,"0.0016","-","-","-",30,796.32,1.58,"-","-","-","-","-","-","Juvenile","-","-","Closed","-","O2 consumption by fish","1.08","-","10","Torr",15,12,"-","+2 torr","No","Oxyregulator","RMR","2.64","-","-","umol O2 / g / h",33.26,"35.79","-","-","-","4.34","torr","-",4.77,"0.578522","-","","84.48","-","two-way ANOVA, post hoc Holm-Sidak multiple-comparisons
analysis ","-","BASIC program designed by Yeager and Ultsch (1989)","","-","Henriksson et al.","2008","-","10.1086/587092","Henriksson, P., Mandic, M., & Richards, J. G. (2008). The osmorespiratory compromise in sculpins: impaired gas exchange is associated with freshwater tolerance. Physiol Biochem Zool, 81(3), 310-319.",NA,NA,NA,0.86,"round","Cottus_asper",15,0,1.100370545,48.837646,1.582278481,0.199282922,1.521922245,-0.043802127,0.00098839,-4.89581676,"quantatative",1
"28","Cottidae","Cottus","asper","Prickly sculpin","Pachena
Lake, British Columbia, Canada","48.837646, -125.028995",48.837646," -125.028995","Yes","30",12,"30","-","-",NA,"bloodworms, minced fish muscle,
and mussels","-","-","-","-","12:12",6,11.2,"0.002","-","-","-",30,796.32,1.41,"-","-","-","-","-","-","Juvenile","-","-","Closed","-","O2 consumption by fish","1.08","-","10","Torr",30,12,"-","+2 torr","No","Oxyregulator","RMR","2.66","-","-","umol O2 / g / h",29.79,"32.48","-","-","-","3.52","torr","-",4.33,"0.469216","-","","85.12","-","two-way ANOVA, post hoc Holm-Sidak multiple-comparisons
analysis ","-","BASIC program designed by Yeager and Ultsch (1989)","","-","Henriksson et al.","2008","-","10.1086/587092","Henriksson, P., Mandic, M., & Richards, J. G. (2008). The osmorespiratory compromise in sculpins: impaired gas exchange is associated with freshwater tolerance. Physiol Biochem Zool, 81(3), 310-319.",NA,NA,NA,0.86,"round","Cottus_asper",30,0,1.049218023,48.837646,1.406469761,0.148130399,1.474070503,-0.14458933,0.00098839,-4.89581676,"quantatative",1
"29","Cottidae","Leptocottus","armatus","Pacific staghorn sculpin","Bamfield Inlet, British Columbia, Canada","48.829449, -125.139253",48.837646," -125.139253","Yes","30",12,"0","-","-",NA,"bloodworms, minced fish muscle,
and mussels","-","-","-","-","12:12",6,30,"0.003","-","-","-",46,2000,1.5,"-","-","-","-","-","-","Juvenile","-","-","Closed","-","O2 consumption by fish","1.08","-","10","Torr",0,12,"-","+2 torr","No","Oxyregulator","RMR","2.27","-","-","umol O2 / g / h",68.1,"39.1","-","-","-","5.79","torr","-",5.21,"0.771807","-","","72.64","-","two-way ANOVA, post hoc Holm-Sidak multiple-comparisons
analysis ","-","BASIC program designed by Yeager and Ultsch (1989)","","No thickening of gill epithilia. This resulted in significant ion loss  (and mortality) in freshwater but no compromise in gas exchange and therefore no significant difference in Pcrit compared to seawater.","Henriksson et al.","2008","-","10.1086/587092","Henriksson, P., Mandic, M., & Richards, J. G. (2008). The osmorespiratory compromise in sculpins: impaired gas exchange is associated with freshwater tolerance. Physiol Biochem Zool, 81(3), 310-319.",NA,NA,NA,0.87,"round","Leptocottus_armatus",0,0,1.477121255,48.837646,1.5,0.176091259,1.833147112,0.04777382,0.00098839,-4.89581676,"quantatative",1
"30","Cottidae","Leptocottus","armatus","Pacific staghorn sculpin","Bamfield Inlet, British Columbia, Canada","48.829449, -125.139253",48.837646," -125.139253","Yes","30",12,"15","-","-",NA,"bloodworms, minced fish muscle,
and mussels","-","-","-","-","12:12",6,42,"0.0023","-","-","-",46,2000,2.1,"-","-","-","-","-","-","Juvenile","-","-","Closed","-","O2 consumption by fish","1.08","-","10","Torr",15,12,"-","+2 torr","No","Oxyregulator","RMR","2.62","-","-","umol O2 / g / h",110.04,"43.65","-","-","-","4.14","torr","-",5.82,"0.551862","-","","83.84","-","two-way ANOVA, post hoc Holm-Sidak multiple-comparisons
analysis ","-","BASIC program designed by Yeager and Ultsch (1989)","","-","Henriksson et al.","2008","-","10.1086/587092","Henriksson, P., Mandic, M., & Richards, J. G. (2008). The osmorespiratory compromise in sculpins: impaired gas exchange is associated with freshwater tolerance. Physiol Biochem Zool, 81(3), 310-319.",NA,NA,NA,0.87,"round","Leptocottus_armatus",15,0,1.62324929,48.837646,2.1,0.322219295,2.041550582,0.038082435,0.00098839,-4.89581676,"quantatative",1
"31","Cottidae","Leptocottus","armatus","Pacific staghorn sculpin","Bamfield Inlet, British Columbia, Canada","48.829449, -125.139253",48.837646," -125.139253","Yes","30",12,"30","-","-",NA,"bloodworms, minced fish muscle,
and mussels","-","-","-","-","12:12",6,32.5,"0.0019","-","-","-",46,2000,1.63,"-","-","-","-","-","-","Juvenile","-","-","Closed","-","O2 consumption by fish","1.08","-","10","Torr",30,12,"-","+2 torr","No","Oxyregulator","RMR","2.26","-","-","umol O2 / g / h",73.45,"44.89","-","-","-","6","torr","-",5.98,"0.7998","-","","72.32","-","two-way ANOVA, post hoc Holm-Sidak multiple-comparisons
analysis ","-","BASIC program designed by Yeager and Ultsch (1989)","","-","Henriksson et al.","2008","-","10.1086/587092","Henriksson, P., Mandic, M., & Richards, J. G. (2008). The osmorespiratory compromise in sculpins: impaired gas exchange is associated with freshwater tolerance. Physiol Biochem Zool, 81(3), 310-319.",NA,NA,NA,0.87,"round","Leptocottus_armatus",30,0,1.511883361,48.837646,1.625,0.210853365,1.8659918,-0.140002332,0.00098839,-4.89581676,"quantatative",1
