"","X.3","X.2","X.1","Family","Genus","Species","Common.Name","Origin","Lat...Long","latitude","longitude","Wild.caught.","Acclimation.Time..days.","Acclimation.Temperature..OC.","Acclimation.Salinity..psu.","PO2.Units","Acclimation.PO2","Acclimation.pH","Diet","Energy.Content","Ration.Unit","Ration.Size","Feeding.Regime","Photoperiod.Hours..L.D.","Sample.Size","Mean.Mass..g.","Mass.SD","Mass.SEM","Mass.Range.Upper..kg.","Mass.Range.Lower..kg.","Max.published.length..cm.","Calculated.mass..g.","percent.BM","Mean.Length..mm.","Length.SD","Length.SEM","Length.Range.Upper..mm.","Length.Range.Lower..mm.","Life.Stage","Expected.life.stage","Sex","Last.Feed..h.","RESPIROMETRY_TYPE","Swimming.Speed..body.lengths.s.1.","Hypoxia.Exposure.Method","Rate.of.Hypoxia.Onset..PO2.unit...min.1.","PO2.Setpoint.Time..mins.","Minimum.PO2","PO2.Unit","Salinity..psu.","Temp","pH","PCO2..uatm.","Access.to.Air","Oxy...conforming...regulating","Routine....Standard.MO2...RMR...SMR.","ORIGINAL_MR_VALUE","MO2.Range.Upper","MO2.Range.Lower","MO2.Units","omrekenfactor.naar.micro.mol.kg.h","MR.µM.h","Critical_PO2","Critical.PO2.Range...Upper.Limit","Critical.PO2.Range...Lower.Limit","Critical.PO2.SD","Critical.PO2.SEM","Critical.PO2.Unit","Air.Breathing.Threshold","Pcrit..kPa.","Pcrit_SE","Pcrit.SD..kPa.","SMR..mgO2...kg..hr.","RMR..mgO2..kg..hr.","X100...Air.Sat...mmHg.","Statistical.Method","SMR.Determination.Method","Pcrit.Calculation.Method","mean.duration.of.Pcrit.trial..min.","Comments.and.Reference.Details","Reference","Year","Corresponding.Author","DOI","Full.Citation","X","C.Value","C.Value.method","Estimated_C.Value","Aspect.ratio.of.the.caudal.fin","animal","Salt","Taccl","logMass","Lat_abs","Calculatedpercent","logpercentcalc","logMR","residMR","relT","relT2","Salt_type_data"
"11",11,11,11,"Latidae","Lates","calcarifer","Australian barramundi","Darwin Aquaculture Centre, Darwin, Australia","-12.555574, 130.864346",-12.555574,"130,864345","No","17",36,"Freshwater","% Air Sat.","75",NA,"Commercial pellet , Ridley
Aquafeed, Narangba, Queensland, Australia","-","% body weight","1","daily","12:12",12,194,"0.0226","-","-","-","200",102900,0.19,"-","-","-","-","-","-","Juvenile","-","40","unknown","-","O2 consumption by fish","1.05","-","5","% Air Sat.",0.1,36,"-","-","No","Oxyregulator","RMR","3.27","-","-","mgO2 / kg / min","1875",1189.46,"23.88","-","-","3.46","-","% Air Sat.","-",4.77,"0.199389963","0.690707093","","196.2","1.497.397.083","One-way ANOVA with Student–Newman–Keuls post hoc","-","Interception of two linear regressions.As per (Corkum and Gamperl, 2009; Nilsson et al., 2010) ","","Significant difference in rate of hypoxia onset between 26 and 36 temperature treatments in this study (0.4 and 1.05 % air sat / min respectivly)","Collins et al.","2013","Geoffrey M. Collins","10.1093/conphys/cot029","Collins, G. M., Clark, T. D., Rummer, J. L., & Carton, A. G. (2013). Hypoxia tolerance is conserved across genetically distinct sub-populations of an iconic, tropical Australian teleost (Lates calcarifer). Conservation Physiology, 1(1).",NA,"0.7","FIA",0.7,"round","Lates_calcarifer",0.1,0,2.28780172993023,12.555574,0.188532555879495,-0.724613644832207,3.07534984185763,0.0247755853640753,4.86203470104513,8.71047048752384,"quantatative"
"12",12,12,12,"Latidae","Lates","calcarifer","Australian barramundi","Barramundi Discovery Centre, Karumba, Australia","-17.501133, 140.826979",-17.501133,"140,826979","No","17",26,"Freshwater","% Air Sat.","75",NA,"Commercial pellet , Ridley
Aquafeed, Narangba, Queensland, Australia","-","% body weight","1","daily","12:12",10,194,"0.0226","-","-","-","200",102900,0.19,"-","-","-","-","-","-","Juvenile","-","40","unknown","-","O2 consumption by fish","0.4","-","5","% Air Sat.",0.1,26,"-","-","No","Oxyregulator","RMR","1.44","-","-","mgO2 / kg / min","1875",523.8,"15.82","-","-","2.13","-","% Air Sat.","-",3.24,"0.138099754","0.436709766","","86.4","153.791.547","One-way ANOVA with Student–Newman–Keuls post hoc","-","Interception of two linear regressions.As per (Corkum and Gamperl, 2009; Nilsson et al., 2010) ","","Significant difference in rate of hypoxia onset between 26 and 36 temperature treatments in this study (0.4 and 1.05 % air sat / min respectivly)","Collins et al.","2013","Geoffrey M. Collins","10.1093/conphys/cot029","Collins, G. M., Clark, T. D., Rummer, J. L., & Carton, A. G. (2013). Hypoxia tolerance is conserved across genetically distinct sub-populations of an iconic, tropical Australian teleost (Lates calcarifer). Conservation Physiology, 1(1).",NA,"0.7","FIA",0.7,"round","Lates_calcarifer",0.1,0,2.28780172993023,17.501133,0.188532555879495,-0.724613644832207,2.71916549408921,-0.0987235544423378,-4.61858570891995,0.127223082259229,"quantatative"
"13",13,13,13,"Latidae","Lates","calcarifer","Australian barramundi","Barramundi Discovery Centre, Karumba, Australia","-17.501133, 140.826980",-17.501133,"140,826979","No","17",36,"Freshwater","% Air Sat.","75",NA,"Commercial pellet , Ridley
Aquafeed, Narangba, Queensland, Australia","-","% body weight","1","daily","12:12",12,194,"0.0226","-","-","-","200",102900,0.19,"-","-","-","-","-","-","Juvenile","-","40","unknown","-","O2 consumption by fish","1.05","-","5","% Air Sat.",0.1,36,"-","-","No","Oxyregulator","RMR","2.95","-","-","mgO2 / kg / min","1875",1073.06,"19.58","-","-","3.15","-","% Air Sat.","-",3.91,"0.181525544","0.628822932","","177","1.497.397.083","One-way ANOVA with Student–Newman–Keuls post hoc","-","Interception of two linear regressions.As per (Corkum and Gamperl, 2009; Nilsson et al., 2010) ","","Significant difference in rate of hypoxia onset between 26 and 36 temperature treatments in this study (0.4 and 1.05 % air sat / min respectivly)","Collins et al.","2013","Geoffrey M. Collins","10.1093/conphys/cot029","Collins, G. M., Clark, T. D., Rummer, J. L., & Carton, A. G. (2013). Hypoxia tolerance is conserved across genetically distinct sub-populations of an iconic, tropical Australian teleost (Lates calcarifer). Conservation Physiology, 1(1).",NA,"0.7","FIA",0.7,"round","Lates_calcarifer",0.1,0,2.28780172993023,17.501133,0.188532555879495,-0.724613644832207,3.03062400616017,-0.0199502503333894,5.38141429107981,10.1272230822592,"quantatative"
"14",14,14,14,"Latidae","Lates","calcarifer","Australian barramundi","Mainstream Aquaculture, Townsville, Australia","-19.254190, 146.817314",-19.25419,"146,817314","No","17",26,"Freshwater","% Air Sat.","75",NA,"Commercial pellet , Ridley
Aquafeed, Narangba, Queensland, Australia","-","% body weight","1","daily","12:12",10,194,"0.0226","-","-","-","200",102900,0.19,"-","-","-","-","-","-","Juvenile","-","40","unknown","-","O2 consumption by fish","0.4","-","5","% Air Sat.",0.1,26,"-","-","No","Oxyregulator","RMR","1.53","-","-","mgO2 / kg / min","1875",556.54,"15.2","-","-","2.14","-","% Air Sat.","-",3.11,"0.138748109","0.438760046","","91.8","153.791.547","One-way ANOVA with Student–Newman–Keuls post hoc","-","Interception of two linear regressions.As per (Corkum and Gamperl, 2009; Nilsson et al., 2010) ","","Significant difference in rate of hypoxia onset between 26 and 36 temperature treatments in this study (0.4 and 1.05 % air sat / min respectivly)","Collins et al.","2013","Geoffrey M. Collins","10.1093/conphys/cot029","Collins, G. M., Clark, T. D., Rummer, J. L., & Carton, A. G. (2013). Hypoxia tolerance is conserved across genetically distinct sub-populations of an iconic, tropical Australian teleost (Lates calcarifer). Conservation Physiology, 1(1).",NA,"0.7","FIA",0.7,"round","Lates_calcarifer",0.1,0,2.28780172993023,19.25419,0.188532555879495,-0.724613644832207,2.74549638368417,-0.0723926648473768,-4.43448073191601,0.629420721286294,"quantatative"
"15",15,15,15,"Latidae","Lates","calcarifer","Australian barramundi","Mainstream Aquaculture, Townsville, Australia","-19.254190, 146.817315",-19.25419,"146,817314","No","17",36,"Freshwater","% Air Sat.","75",NA,"Commercial pellet , Ridley
Aquafeed, Narangba, Queensland, Australia","-","% body weight","1","daily","12:12",12,194,"0.0226","-","-","-","200",102900,0.19,"-","-","-","-","-","-","Juvenile","-","40","unknown","-","O2 consumption by fish","1.05","-","5","% Air Sat.",0.1,36,"-","-","No","Oxyregulator","RMR","3.06","-","-","mgO2 / kg / min","1875",1113.08,"22.95","-","-","2.75","-","% Air Sat.","-",4.58,"0.158474682","0.548972401","","183.6","1.497.397.083","One-way ANOVA with Student–Newman–Keuls post hoc","-","Interception of two linear regressions.As per (Corkum and Gamperl, 2009; Nilsson et al., 2010) ","","Significant difference in rate of hypoxia onset between 26 and 36 temperature treatments in this study (0.4 and 1.05 % air sat / min respectivly)","Collins et al.","2013","Geoffrey M. Collins","10.1093/conphys/cot029","Collins, G. M., Clark, T. D., Rummer, J. L., & Carton, A. G. (2013). Hypoxia tolerance is conserved across genetically distinct sub-populations of an iconic, tropical Australian teleost (Lates calcarifer). Conservation Physiology, 1(1).",NA,"0.7","FIA",0.7,"round","Lates_calcarifer",0.1,0,2.28780172993023,19.25419,0.188532555879495,-0.724613644832207,3.04652637934816,-0.00404787714540216,5.56551926808396,10.6294207212863,"quantatative"
"16",16,16,16,"Latidae","Lates","calcarifer","Australian barramundi","Gladstone Water Board Barramundi
Hatchery, Galdstone, Australia","-23.843134, 151.256209",-23.843134,"151,256209","Yes","17",26,"Freshwater","% Air Sat.","75",NA,"Commercial pellet , Ridley
Aquafeed, Narangba, Queensland, Australia","-","% body weight","1","daily","12:12",10,194,"0.0226","-","-","-","200",102900,0.19,"-","-","-","-","-","-","Juvenile","-","40","unknown","-","O2 consumption by fish","0.4","-","5","% Air Sat.",0.1,26,"-","-","No","Oxyregulator","RMR","1.44","-","-","mgO2 / kg / min","1875",523.8,"14.14","-","-","2.12","-","% Air Sat.","-",2.9,"0.137451398","0.434659485","","86.4","153.791.547","One-way ANOVA with Student–Newman–Keuls post hoc","-","Interception of two linear regressions.As per (Corkum and Gamperl, 2009; Nilsson et al., 2010) ","","Significant difference in rate of hypoxia onset between 26 and 36 temperature treatments in this study (0.4 and 1.05 % air sat / min respectivly)","Collins et al.","2013","Geoffrey M. Collins","10.1093/conphys/cot029","Collins, G. M., Clark, T. D., Rummer, J. L., & Carton, A. G. (2013). Hypoxia tolerance is conserved across genetically distinct sub-populations of an iconic, tropical Australian teleost (Lates calcarifer). Conservation Physiology, 1(1).",NA,"0.7","FIA",0.7,"round","Lates_calcarifer",0.1,0,2.28780172993023,23.843134,0.188532555879495,-0.724613644832207,2.71916549408921,-0.0987235544423378,-3.9525526316927,1.94401393897825,"quantatative"
"17",17,17,17,"Latidae","Lates","calcarifer","Australian barramundi","Gladstone Water Board Barramundi
Hatchery, Galdstone, Australia","-23.843134, 151.256209",-23.843134,"151,256209","Yes","17",36,"Freshwater","% Air Sat.","75",NA,"Commercial pellet , Ridley
Aquafeed, Narangba, Queensland, Australia","-","% body weight","1","daily","12:12",12,194,"0.0226","-","-","-","200",102900,0.19,"-","-","-","-","-","-","Juvenile","-","40","unknown","-","O2 consumption by fish","1.05","-","5","% Air Sat.",0.1,36,"-","-","No","Oxyregulator","RMR","3.38","-","-","mgO2 / kg / min","1875",1229.48,"19.32","-","-","4.61","-","% Air Sat.","-",3.86,"0.265661194","0.92027737","","202.8","1.497.397.083","One-way ANOVA with Student–Newman–Keuls post hoc","-","Interception of two linear regressions.As per (Corkum and Gamperl, 2009; Nilsson et al., 2010) ","","Significant difference in rate of hypoxia onset between 26 and 36 temperature treatments in this study (0.4 and 1.05 % air sat / min respectivly)","Collins et al.","2013","Geoffrey M. Collins","10.1093/conphys/cot029","Collins, G. M., Clark, T. D., Rummer, J. L., & Carton, A. G. (2013). Hypoxia tolerance is conserved across genetically distinct sub-populations of an iconic, tropical Australian teleost (Lates calcarifer). Conservation Physiology, 1(1).",NA,"0.7","FIA",0.7,"round","Lates_calcarifer",0.1,0,2.28780172993023,23.843134,0.188532555879495,-0.724613644832207,3.08972146844661,0.0391472119530494,6.0474473683072,11.9440139389782,"quantatative"
"18",18,18,18,"Gobiidae","Gobius","cobitis","Giant goby","Roscoff Biological Station, France ","48.726639, -3.987608",48.726639,"-3,987608","No","365",13,"35","-","-",NA,"Squid, crab, mussel","-","-","-","weekly","12:12",6,124.5,"-","-","0.24","0.009","14,1",228,NA,"-","-","-","-","-","-","","-","16","unknown","-","Equilibration with with N2, O2 and air","0.38","60","18.57","Torr",35,12.5,"-","-","No","Oxyregulator","RMR","1.07","-","-","mmol O2 / kg /  h","1000",139.64,"40","-","-","-","-","Torr","-",5.32,"-","-","","34.24","-","-","-","Interception of two regression lines","","-","Berschick et al.","1987","-","-","BERSCHICK, P., BRIDGES, C. R., & GRIESHABER, M. K. (1987). The Influence of Hyperoxia, Hypoxia and Temperature on the Respiratory Physiology of the Intertidal Rockpool Fish Gobius Cobitis Pallas. Journal of Experimental Biology, 130(1), 368-387. ",NA,"0.66","FD",0.66,"round","Gobius_cobitis",35,0.5,2.09516935143176,48.726639,54.6052631578947,1.7372345044313,2.14500984014214,-0.39443004942649,-2.93098878501041e-14,-4.42761689691692,"quantatative"
"19",19,19,19,"Scyliorhinidae","Scyliorhinus","canicula","Small-spotted catshark","Marine Biological Association, Plymouth, UK","50.364380, -4.139501",50.36438,"-4,139501","No","18",7,"Seawater","-","-",NA,"-","-","-","-","-","-",7,805,"-","-","1.05","0.56","100",3600,22.36,"-","-","-","-","-","-","Adult","-","-","unknown","-","Equilibration with with N2, O2 and air","1","-","40","mmHg",30,7,"-","-","No","Oxyregulator","RMR","0.34","-","-","mlO2 / kg / min","2678,571429",733.13,"NS","-","-","-","-","mmHg","-",NA,"-","-","-","","-","Student's t-test","-","When EO2 was significantly less than normoxic EO2 ","","Pcrit determined as point at which MO2 was statistically significantly less than MO2 at normoxia therfore potential underestimate of when Pcrit actually occurred","Butler & Taylor","1975","-","-","Butler, P. J., & Taylor, E. W. (1975). The effect of progressive hypoxia on respiration in the dogfish (scyliorhinus canicula) at different seasonal temperatures. J Exp Biol, 63(1), 117-130. ",NA,"5.65","FD",5.65,"round","Scyliorhinus_canicula",35,0,2.90579588036787,50.36438,22.3611111111111,1.34949337960058,2.8651809913897,-0.20498963097013,-5.00000000000005,-9.45845379295748,"qualitative (Seawater)"
"20",20,20,20,"Scyliorhinidae","Scyliorhinus","canicula","Small-spotted catshark","Marine Biological Association, Plymouth, UK","50.364380, -4.139502",50.36438,"-4,139501","No","18",12,"Seawater","-","-",NA,"-","-","-","-","-","-",8,805,"-","-","1.05","0.56","100",3600,22.36,"-","-","-","-","-","-","Adult","-","-","unknown","-","Equilibration with with N2, O2 and air","1","-","40","mmHg",30,12,"-","-","No","Oxyregulator","RMR","0.45","-","-","mlO2 / kg / min","2678,571429",970.31,"48","-","-","-","-","mmHg","-",6.39,"-","-","-","","-","Student's t-test","-","When EO2 was significantly less than normoxic EO2 ","","Pcrit determined as point at which MO2 was statistically significantly less than MO2 at normoxia therfore potential underestimate of when Pcrit actually occurred","Butler & Taylor","1975","-","-","Butler, P. J., & Taylor, E. W. (1975). The effect of progressive hypoxia on respiration in the dogfish (scyliorhinus canicula) at different seasonal temperatures. J Exp Biol, 63(1), 117-130. ",NA,"5.65","FD",5.65,"round","Scyliorhinus_canicula",35,0,2.90579588036787,50.36438,22.3611111111111,1.34949337960058,2.98691050723606,-0.217959482597565,1.39832589951538e-13,-4.45845379295748,"qualitative (Seawater)"
"21",21,21,21,"Scyliorhinidae","Scyliorhinus","canicula","Small-spotted catshark","Marine Biological Association, Plymouth, UK","50.364380, -4.139503",50.36438,"-4,139501","No","18",17,"Seawater","-","-",NA,"-","-","-","-","-","-",8,805,"-","-","1.05","0.56","100",3600,22.36,"-","-","-","-","-","-","Adult","-","-","unknown","-","Equilibration with with N2, O2 and air","1","-","40","mmHg",30,17,"-","-","No","Oxyregulator","RMR","0.73","-","-","mlO2 / kg / min","2678,571429",1574.06,"63","-","-","-","-","mmHg","-",8.4,"-","-","-","","-","Student's t-test","-","When EO2 was significantly less than normoxic EO2 ","","Pcrit determined as point at which MO2 was statistically significantly less than MO2 at normoxia therfore potential underestimate of when Pcrit actually occurred","Butler & Taylor","1975","-","-","Butler, P. J., & Taylor, E. W. (1975). The effect of progressive hypoxia on respiration in the dogfish (scyliorhinus canicula) at different seasonal temperatures. J Exp Biol, 63(1), 117-130. ",NA,"5.65","FD",5.65,"round","Scyliorhinus_canicula",35,0,2.90579588036787,50.36438,22.3611111111111,1.34949337960058,3.19702128277036,-0.137903268762106,4.99999999999995,0.541546207042519,"qualitative (Seawater)"
"22",22,22,22,"Batrachoididae","Porichthys","notatus","Plainfin midshipman","Nanoose Bay, Vancouver Island, British Columbia, Canada","49.264412, -124.172588",49.264412,"-124,172588","Yes","7",10,"Seawater","-","-",NA,"-","-","-","-","unfed","-",16,171,"0.0158","-","-","-","38",520.82,32.83,"-","-","-","-","-","-","Adult","Type 1 Male","-","Closed","-","O2 consumption by fish","0.44","-","20","% Air Sat.",30,10,"-","-","No","Oxyconformer","RMR","1","-","-","mmol O2 / kg /  h","1000",171,"-","-","-","-","-","-","-",NA,"-","-","-","32","-","Linear regression analysis","-","Regression analysis","","Paper suggests type 1 male plainfin midshiman are oxyconformers (caveat - closed respirometry, 30 mins between measurments, 6 measuremnts over whole PO2 range)","Craig et al.","2014","P. M. Craig","10.1007/s10641-013-0137-3","Craig, P., Fitzpatrick, J., Walsh, P., Wood, C., & McClelland, G. (2014). Coping with aquatic hypoxia: how the plainfin midshipman (Porichthys notatus) tolerates the intertidal zone. Environmental Biology of Fishes, 97(2), 163-172.",NA,"2.2","BFA",2.2,"round","Porichthys_notatus",35,0,2.23299611039215,49.264412,32.8328405207173,1.51630845717675,2.23299611039215,-0.355310594672871,-0.669158286704003,-6.77356124959199,"qualitative (Seawater)"
"23",23,23,23,"Acipenseridae","Acipenser","transmontanus","White sturgeon","University of
California, Davis (UCD), Aquaculture and Fisheries
Program facility, USA","38.538438, -121.761723",38.538438,"-121,761723","No","7",10,"Freshwater","-","-",NA,"Silvercup trout pellets","-","-","ad libitum","twice daily","""natural""",30,0.2,"0","-","-","-","610",1500000,0,"-","-","-","-","-","Juvenile","Juvenile","-","24","Closed","-","N2 Addition","12","30","80","mmHg",0.1,10,"-","-","No","Oxyconformer","RMR","267.1","-","-","ug O2/ g / h","31,25",1.67,"-","-","-","-","-","-","-",NA,"-","-","-","267.1","-","ANOVA","-","-","","Paper concludes oxyconforming but Pcrit could occur above 80 mmHg (no measurements of MO2 between 140 and 80 mmHg were taken)","Crocker & Cech","1997","-","10.1023/A:1007362018352","Crocker, C., & Cech, J. J., Jr. (1997). Effects of environmental hypoxia on oxygen consumption rate and swimming activity in juvenile white sturgeon, Acipenser transmontanus, in relation to temperature and life intervals. Environmental Biology of Fishes, ",NA,"4.73","FCM",4.73,"crescent","Acipenser_transmontanus",0.1,0,-0.698970004336019,38.538438,1.33333333333333e-05,-4.8750612633917,0.222716471147583,0.311794061554248,-5.33333333333336,-9.84622735175847,"quantatative"
"24",24,24,24,"Acipenseridae","Acipenser","transmontanus","White sturgeon","University of
California, Davis (UCD), Aquaculture and Fisheries
Program facility, USA","38.538438, -121.761724",38.538438,"-121,761723","No","12",16,"Freshwater","-","-",NA,"Silvercup trout pellets","-","-","ad libitum","twice daily","""natural""",105,1.9,"0.0001","-","-","-","610",1500000,0,"-","-","-","-","-","Juvenile","Juvenile","-","24","Closed","-","N2 Addition","12","30","80","mmHg",0.1,16,"-","-","No","Oxyconformer","RMR","211.7","-","-","ug O2/ g / h","31,25",12.57,"-","-","-","-","-","-","-",NA,"-","-","-","211.7","-","ANOVA","-","-","","Paper concludes oxyconforming but Pcrit could occur above 80 mmHg (no measurements of MO2 between 140 and 80 mmHg were taken)","Crocker & Cech","1997","-","10.1023/A:1007362018352","Crocker, C., & Cech, J. J., Jr. (1997). Effects of environmental hypoxia on oxygen consumption rate and swimming activity in juvenile white sturgeon, Acipenser transmontanus, in relation to temperature and life intervals. Environmental Biology of Fishes, ",NA,"4.73","FCM",4.73,"crescent","Acipenser_transmontanus",0.1,0,0.278753600952829,38.538438,0.000126666666666667,-3.89733765810285,1.09933527768596,0.212169698893765,0.66666666666659,-3.84622735175847,"quantatative"
"25",25,25,25,"Acipenseridae","Acipenser","transmontanus","White sturgeon","University of
California, Davis (UCD), Aquaculture and Fisheries
Program facility, USA","38.538438, -121.761725",38.538438,"-121,761723","No","20",20,"Freshwater","-","-",NA,"Silvercup trout pellets","-","-","ad libitum","twice daily","""natural""",24,63.1,"0.004","-","-","-","610",1500000,0,"-","-","-","-","-","Juvenile","Juvenile","-","24","Closed","-","N2 Addition","12","90","80","mmHg",0.1,20,"-","-","No","Oxyconformer","RMR","180","-","-","ug O2/ g / h","31,25",354.94,"-","-","-","-","-","-","-",NA,"-","-","-","180","-","ANOVA","-","-","","Paper concludes oxyconforming but Pcrit could occur above 80 mmHg (no measurements of MO2 between 140 and 80 mmHg were taken)","Crocker & Cech","1997","-","10.1023/A:1007362018352","Crocker, C., & Cech, J. J., Jr. (1997). Effects of environmental hypoxia on oxygen consumption rate and swimming activity in juvenile white sturgeon, Acipenser transmontanus, in relation to temperature and life intervals. Environmental Biology of Fishes, ",NA,"4.73","FCM",4.73,"crescent","Acipenser_transmontanus",0.1,0,1.80002935924413,38.538438,0.00420666666666667,-2.37606189981155,2.55015494496715,0.287854247755365,4.66666666666678,0.15377264824153,"quantatative"
"26",26,26,26,"Cottidae","Cottus","asper","Prickly sculpin","Pachena
Lake, British Columbia, Canada","48.837646, -125.028995",48.837646,"-125,028995","Yes","30",12,"0","-","-",NA,"bloodworms, minced fish muscle,
and mussels","-","-","-","-","12:12",6,11.4,"0.0026","-","-","-","30",796.32,1.43,"-","-","-","-","-","-","Juvenile","-","-","Closed","-","O2 consumption by fish","1.08","-","10","Torr",0,12,"-","+2 torr","No","Oxyregulator","RMR","2.41","-","-","umol O2 / g / h","1000",27.47,"49.03","-","-","-","3.72","torr","-",6.53,"0.495876","-","","77.12","-","two-way ANOVA, post hoc Holm-Sidak multiple-comparisons
analysis ","-","BASIC program designed by Yeager and Ultsch (1989)","","Thickening of gill epithilia limits ion loss in freshwater but compromises gas exchange and therefore results in higher Pcrit.  ","Henriksson et al.","2008","-","10.1086/587092","Henriksson, P., Mandic, M., & Richards, J. G. (2008). The osmorespiratory compromise in sculpins: impaired gas exchange is associated with freshwater tolerance. Physiol Biochem Zool, 81(3), 310-319.",NA,NA,NA,0.86,"round","Cottus_asper",0,0,1.05690485133647,48.837646,1.43158529234479,0.155817227936525,1.43885865942056,0.00528225499568117,0.000988389990169994,-4.89581675960508,"quantatative"
"27",27,27,27,"Cottidae","Cottus","asper","Prickly sculpin","Pachena
Lake, British Columbia, Canada","48.837646, -125.028995",48.837646,"-125,028995","Yes","30",12,"15","-","-",NA,"bloodworms, minced fish muscle,
and mussels","-","-","-","-","12:12",6,12.6,"0.0016","-","-","-","30",796.32,1.58,"-","-","-","-","-","-","Juvenile","-","-","Closed","-","O2 consumption by fish","1.08","-","10","Torr",15,12,"-","+2 torr","No","Oxyregulator","RMR","2.64","-","-","umol O2 / g / h","1000",33.26,"35.79","-","-","-","4.34","torr","-",4.77,"0.578522","-","","84.48","-","two-way ANOVA, post hoc Holm-Sidak multiple-comparisons
analysis ","-","BASIC program designed by Yeager and Ultsch (1989)","","-","Henriksson et al.","2008","-","10.1086/587092","Henriksson, P., Mandic, M., & Richards, J. G. (2008). The osmorespiratory compromise in sculpins: impaired gas exchange is associated with freshwater tolerance. Physiol Biochem Zool, 81(3), 310-319.",NA,NA,NA,0.86,"round","Cottus_asper",15,0,1.10037054511756,48.837646,1.58227848101266,0.199282921717615,1.5219222448835,-0.0438021265867877,0.000988389990258368,-4.89581675960508,"quantatative"
"28",28,28,28,"Cottidae","Cottus","asper","Prickly sculpin","Pachena
Lake, British Columbia, Canada","48.837646, -125.028995",48.837646,"-125,028995","Yes","30",12,"30","-","-",NA,"bloodworms, minced fish muscle,
and mussels","-","-","-","-","12:12",6,11.2,"0.002","-","-","-","30",796.32,1.41,"-","-","-","-","-","-","Juvenile","-","-","Closed","-","O2 consumption by fish","1.08","-","10","Torr",30,12,"-","+2 torr","No","Oxyregulator","RMR","2.66","-","-","umol O2 / g / h","1000",29.79,"32.48","-","-","-","3.52","torr","-",4.33,"0.469216","-","","85.12","-","two-way ANOVA, post hoc Holm-Sidak multiple-comparisons
analysis ","-","BASIC program designed by Yeager and Ultsch (1989)","","-","Henriksson et al.","2008","-","10.1086/587092","Henriksson, P., Mandic, M., & Richards, J. G. (2008). The osmorespiratory compromise in sculpins: impaired gas exchange is associated with freshwater tolerance. Physiol Biochem Zool, 81(3), 310-319.",NA,NA,NA,0.86,"round","Cottus_asper",30,0,1.04921802267018,48.837646,1.40646976090014,0.148130399270234,1.47407050321504,-0.144589330353782,0.000988389990225005,-4.89581675960508,"quantatative"
"29",29,29,29,"Cottidae","Leptocottus","armatus","Pacific staghorn sculpin","Bamfield Inlet, British Columbia, Canada","48.829449, -125.139253",48.837646,"-125,028995","Yes","30",12,"0","-","-",NA,"bloodworms, minced fish muscle,
and mussels","-","-","-","-","12:12",6,30,"0.003","-","-","-","46",2000,1.5,"-","-","-","-","-","-","Juvenile","-","-","Closed","-","O2 consumption by fish","1.08","-","10","Torr",0,12,"-","+2 torr","No","Oxyregulator","RMR","2.27","-","-","umol O2 / g / h","1000",68.1,"39.1","-","-","-","5.79","torr","-",5.21,"0.771807","-","","72.64","-","two-way ANOVA, post hoc Holm-Sidak multiple-comparisons
analysis ","-","BASIC program designed by Yeager and Ultsch (1989)","","No thickening of gill epithilia. This resulted in significant ion loss  (and mortality) in freshwater but no compromise in gas exchange and therefore no significant difference in Pcrit compared to seawater.","Henriksson et al.","2008","-","10.1086/587092","Henriksson, P., Mandic, M., & Richards, J. G. (2008). The osmorespiratory compromise in sculpins: impaired gas exchange is associated with freshwater tolerance. Physiol Biochem Zool, 81(3), 310-319.",NA,NA,NA,0.87,"round","Leptocottus_armatus",0,0,1.47712125471966,48.837646,1.5,0.176091259055681,1.83314711191279,0.0477738203919653,0.000988389990338193,-4.89581675960508,"quantatative"
"30",30,30,30,"Cottidae","Leptocottus","armatus","Pacific staghorn sculpin","Bamfield Inlet, British Columbia, Canada","48.829449, -125.139253",48.837646,"-125,028995","Yes","30",12,"15","-","-",NA,"bloodworms, minced fish muscle,
and mussels","-","-","-","-","12:12",6,42,"0.0023","-","-","-","46",2000,2.1,"-","-","-","-","-","-","Juvenile","-","-","Closed","-","O2 consumption by fish","1.08","-","10","Torr",15,12,"-","+2 torr","No","Oxyregulator","RMR","2.62","-","-","umol O2 / g / h","1000",110.04,"43.65","-","-","-","4.14","torr","-",5.82,"0.551862","-","","83.84","-","two-way ANOVA, post hoc Holm-Sidak multiple-comparisons
analysis ","-","BASIC program designed by Yeager and Ultsch (1989)","","-","Henriksson et al.","2008","-","10.1086/587092","Henriksson, P., Mandic, M., & Richards, J. G. (2008). The osmorespiratory compromise in sculpins: impaired gas exchange is associated with freshwater tolerance. Physiol Biochem Zool, 81(3), 310-319.",NA,NA,NA,0.87,"round","Leptocottus_armatus",15,0,1.6232492903979,48.837646,2.1,0.322219294733919,2.04155058171765,0.0380824348086007,0.000988389990182595,-4.89581675960508,"quantatative"
